BELTUSE_BIN	BAGDEPLOY_BIN	SEATPOS	DV_MPH	file_path	HIC15	T1_15	T2_15	HIC36	T1_36	T2_36	PEAK_LACC	PEAK_AACC	PEAK_LACC_g
1	0	11	11	data/minimal_simulations/11_mph/driver/belt/noairbag/madymo/madymo.peak	11.31	85	100	19.671	78	114	143.47	555.38	14.624872579001018
0	1	11	11	data/minimal_simulations/11_mph/driver/nobelt/airbag/madymo/madymo.peak	8.1055	114	129	15.286	100	136	126.54	627.5	12.899082568807339
1	1	11	11	data/minimal_simulations/11_mph/driver/belt/airbag/madymo/madymo.peak	15.224	84	99	27.487	78	114	160.01	743.36	16.31090723751274
0	0	13	11	data/minimal_simulations/11_mph/pass/nobelt/noairbag/madymo/madymo.peak	3.209	110.4	125.4	5.2555	102.5	138.5	91.372	423.85	9.314169215086645
1	0	13	11	data/minimal_simulations/11_mph/pass/belt/noairbag/madymo/madymo.peak	16.047	83.8	98.8	25.061	76.3	112.3	169.79	603.24	17.307849133537204
0	1	13	11	data/minimal_simulations/11_mph/pass/nobelt/airbag/madymo/madymo.peak	2.2708	115.6	130.6	4.2392	103.3	139.3	118.94	1298	12.124362895005095
1	1	13	11	data/minimal_simulations/11_mph/pass/belt/airbag/madymo/madymo.peak	9.2231	86.3	101.3	12.951	81.7	117.7	141.21	1185.1	14.394495412844037
0	0	11	12	data/minimal_simulations/12_mph/driver/nobelt/noairbag/madymo/madymo.peak	44.022	141	156	45.467	141	157	544.42	8678.6	55.49643221202854
1	0	11	12	data/minimal_simulations/12_mph/driver/belt/noairbag/madymo/madymo.peak	17.003	86	101	27.828	79	115	168.65	601.26	17.19164118246687
0	1	11	12	data/minimal_simulations/12_mph/driver/nobelt/airbag/madymo/madymo.peak	11.275	110	125	21.893	96	132	141.74	703.88	14.448521916411824
1	1	11	12	data/minimal_simulations/12_mph/driver/belt/airbag/madymo/madymo.peak	21.488	83	98	36.695	77	113	183.94	857.21	18.75025484199796
0	0	13	12	data/minimal_simulations/12_mph/pass/nobelt/noairbag/madymo/madymo.peak	5.9926	108.1	123.1	7.7641	98.9	134.9	184.6	1381.3	18.817533129459733
1	0	13	12	data/minimal_simulations/12_mph/pass/belt/noairbag/madymo/madymo.peak	20.346	83.1	98.1	31.654	74.9	110.9	184.57	597.32	18.8144750254842
0	1	13	12	data/minimal_simulations/12_mph/pass/nobelt/airbag/madymo/madymo.peak	3.2548	110.6	125.6	5.8353	98.6	134.6	123.78	1421.5	12.617737003058103
1	1	13	12	data/minimal_simulations/12_mph/pass/belt/airbag/madymo/madymo.peak	10.685	85.1	100.1	16.803	63.9	99.9	148.04	1169.6	15.090723751274208
0	0	11	13	data/minimal_simulations/13_mph/driver/nobelt/noairbag/madymo/madymo.peak	12.777	107	122	15.918	144	180	169.22	3255.8	17.24974515800204
1	0	11	13	data/minimal_simulations/13_mph/driver/belt/noairbag/madymo/madymo.peak	23.508	86	101	36.044	79	115	195.59	648.23	19.93781855249745
0	1	11	13	data/minimal_simulations/13_mph/driver/nobelt/airbag/madymo/madymo.peak	16.382	106	121	29.11	92	128	171.76	733.57	17.50866462793068
1	1	11	13	data/minimal_simulations/13_mph/driver/belt/airbag/madymo/madymo.peak	29.155	83	98	48	76	112	214.03	1089	21.817533129459733
0	0	13	13	data/minimal_simulations/13_mph/pass/nobelt/noairbag/madymo/madymo.peak	11.247	104.6	119.6	15.054	101.4	137.4	253.06	1000.8	25.79612640163099
1	0	13	13	data/minimal_simulations/13_mph/pass/belt/noairbag/madymo/madymo.peak	24.345	82.8	97.8	37.94	73.6	109.6	196.43	686.29	20.023445463812436
0	1	13	13	data/minimal_simulations/13_mph/pass/nobelt/airbag/madymo/madymo.peak	4.5821	107.5	122.5	7.7452	96.2	132.2	127.75	1336.3	13.02242609582059
1	1	13	13	data/minimal_simulations/13_mph/pass/belt/airbag/madymo/madymo.peak	12.8	84.6	99.6	21.683	63.8	99.8	163.56	1270.2	16.672782874617738
0	0	11	14	data/minimal_simulations/14_mph/driver/nobelt/noairbag/madymo/madymo.peak	19.625	103	118	26.953	131	167	211.22	3064.6	21.531090723751273
1	0	11	14	data/minimal_simulations/14_mph/driver/belt/noairbag/madymo/madymo.peak	25.837	86	101	42.07	79	115	201.91	600.46	20.582059123343527
0	1	11	14	data/minimal_simulations/14_mph/driver/nobelt/airbag/madymo/madymo.peak	21.918	103	118	37.843	88	124	190.75	852.27	19.444444444444443
1	1	11	14	data/minimal_simulations/14_mph/driver/belt/airbag/madymo/madymo.peak	37.001	84	99	59.061	74	110	239.14	1297.1	24.377166156982668
0	0	13	14	data/minimal_simulations/14_mph/pass/nobelt/noairbag/madymo/madymo.peak	36.647	121.7	124.9	36.647	121.7	124.9	518.61	2023.6	52.86544342507645
1	0	13	14	data/minimal_simulations/14_mph/pass/belt/noairbag/madymo/madymo.peak	27.246	83	98	43.111	73.4	109.4	204.43	747.36	20.83893985728848
0	1	13	14	data/minimal_simulations/14_mph/pass/nobelt/airbag/madymo/madymo.peak	6.1233	105.3	120.3	10.3	93.3	129.3	128.14	1474.1	13.062181447502546
1	1	13	14	data/minimal_simulations/14_mph/pass/belt/airbag/madymo/madymo.peak	15.877	84.4	99.4	26.591	63.7	99.7	177.43	1275.5	18.08664627930683
0	0	11	15	data/minimal_simulations/15_mph/driver/nobelt/noairbag/madymo/madymo.peak	41.272	105	120	51.701	102	138	447.48	3072.3	45.61467889908257
1	0	11	15	data/minimal_simulations/15_mph/driver/belt/noairbag/madymo/madymo.peak	30.038	86	101	49.471	78	114	210.94	587.71	21.50254841997961
0	1	11	15	data/minimal_simulations/15_mph/driver/nobelt/airbag/madymo/madymo.peak	28.054	100	115	47.294	87	123	212.09	942.82	21.619775739041792
1	1	11	15	data/minimal_simulations/15_mph/driver/belt/airbag/madymo/madymo.peak	47.604	84	99	70.603	73	109	259.46	1333.8	26.44852191641182
0	0	13	15	data/minimal_simulations/15_mph/pass/nobelt/noairbag/madymo/madymo.peak	92.816	112.6	115.7	92.816	112.6	115.7	734.39	3681	74.86136595310907
1	0	13	15	data/minimal_simulations/15_mph/pass/belt/noairbag/madymo/madymo.peak	31.971	83.2	98.2	50.72	74.1	110.1	216.74	785.39	22.093781855249745
0	1	13	15	data/minimal_simulations/15_mph/pass/nobelt/airbag/madymo/madymo.peak	8.0173	102.5	117.5	13.473	91	127	133.15	1511.9	13.572884811416921
1	1	13	15	data/minimal_simulations/15_mph/pass/belt/airbag/madymo/madymo.peak	18.962	84.6	99.6	31.222	63.5	99.5	190.23	1516.3	19.3914373088685
0	0	11	16	data/minimal_simulations/16_mph/driver/nobelt/noairbag/madymo/madymo.peak	176.13	109	111	176.13	109	111	1140.2	5758.4	116.2283384301733
1	0	11	16	data/minimal_simulations/16_mph/driver/belt/noairbag/madymo/madymo.peak	35.238	85	100	58.963	78	114	223.93	691.33	22.82670744138634
0	1	11	16	data/minimal_simulations/16_mph/driver/nobelt/airbag/madymo/madymo.peak	28.208	94	109	45.802	81	117	212.92	917.22	21.70438328236493
1	1	11	16	data/minimal_simulations/16_mph/driver/belt/airbag/madymo/madymo.peak	57.413	84	99	82.932	72	108	280.94	1279.8	28.638124362895002
0	0	13	16	data/minimal_simulations/16_mph/pass/nobelt/noairbag/madymo/madymo.peak	347.08	106.4	108.8	347.08	106.4	108.8	1342.1	7609.6	136.80937818552496
1	0	13	16	data/minimal_simulations/16_mph/pass/belt/noairbag/madymo/madymo.peak	35.536	83	98	58.565	73.8	109.8	225.02	789.32	22.93781855249745
0	1	13	16	data/minimal_simulations/16_mph/pass/nobelt/airbag/madymo/madymo.peak	10.254	98.9	113.9	17.378	87.5	123.5	153.32	1802.9	15.628950050968399
1	1	13	16	data/minimal_simulations/16_mph/pass/belt/airbag/madymo/madymo.peak	21.832	84.2	99.2	36.501	63.5	99.5	203.68	1756.2	20.7624872579001
0	0	11	17	data/minimal_simulations/17_mph/driver/nobelt/noairbag/madymo/madymo.peak	567.47	103	106	567.47	103	106	1681.1	9871.6	171.36595310907236
1	0	11	17	data/minimal_simulations/17_mph/driver/belt/noairbag/madymo/madymo.peak	41.275	84	99	70.157	77	113	241.49	642.93	24.61671763506626
0	1	11	17	data/minimal_simulations/17_mph/driver/nobelt/airbag/madymo/madymo.peak	25.214	91	106	45.859	79	115	202.45	1193.2	20.637104994903158
1	1	11	17	data/minimal_simulations/17_mph/driver/belt/airbag/madymo/madymo.peak	71.404	83	98	100.58	71	107	307.13	1479.1	31.307849133537204
0	0	13	17	data/minimal_simulations/17_mph/pass/nobelt/noairbag/madymo/madymo.peak	759.15	101.7	104.2	759.15	101.7	104.2	1859.8	10941	189.58205912334353
1	0	13	17	data/minimal_simulations/17_mph/pass/belt/noairbag/madymo/madymo.peak	38.8	82.8	97.8	66.156	73.8	109.8	232.78	823.67	23.728848114169214
0	1	13	17	data/minimal_simulations/17_mph/pass/nobelt/airbag/madymo/madymo.peak	13.537	97.3	112.3	22.777	85.9	121.9	167.32	1485.9	17.056065239551476
1	1	13	17	data/minimal_simulations/17_mph/pass/belt/airbag/madymo/madymo.peak	25.037	83.3	98.3	42.195	63	99	208.62	1594.8	21.26605504587156
0	0	11	18	data/minimal_simulations/18_mph/driver/nobelt/noairbag/madymo/madymo.peak	976.37	99	102	976.37	99	102	2201.3	13096	224.3934760448522
1	0	11	18	data/minimal_simulations/18_mph/driver/belt/noairbag/madymo/madymo.peak	47.911	84	99	78.155	77	113	255.33	742.52	26.027522935779817
0	1	11	18	data/minimal_simulations/18_mph/driver/nobelt/airbag/madymo/madymo.peak	27.234	89	104	50.676	77	113	210.7	1221.7	21.47808358817533
1	1	11	18	data/minimal_simulations/18_mph/driver/belt/airbag/madymo/madymo.peak	80.236	81	96	114	70	106	325.94	1759.2	33.225280326197755
0	0	13	18	data/minimal_simulations/18_mph/pass/nobelt/noairbag/madymo/madymo.peak	1241.8	97.9	100.4	1241.8	97.9	100.4	2322.7	14172	236.76860346585113
1	0	13	18	data/minimal_simulations/18_mph/pass/belt/noairbag/madymo/madymo.peak	43.03	82.5	97.5	74.325	73.5	109.5	241.29	838.93	24.596330275229356
0	1	13	18	data/minimal_simulations/18_mph/pass/nobelt/airbag/madymo/madymo.peak	17.281	95.3	110.3	29.827	82.7	118.7	181.54	1545.1	18.505606523955144
1	1	13	18	data/minimal_simulations/18_mph/pass/belt/airbag/madymo/madymo.peak	27.71	83.1	98.1	47.807	62.9	98.9	220.03	1717.1	22.42915392456677
